start_name,end_name,time_seconds
來來炒飯,中央大學宵夜街口,15
中央大學宵夜街口,喬慧素食,16
喬慧素食,中央大學宵夜街口,16
中央大學宵夜街口,來客,64
來客,中央大學宵夜街口,64
中央大學宵夜街口,真功夫蔥抓餅,63
真功夫蔥抓餅,中央大學宵夜街口,63
中央大學宵夜街口,傻師傅湯包,78
傻師傅湯包,中央大學宵夜街口,78
中央大學宵夜街口,早安美芝城中壢活力中央,102
早安美芝城中壢活力中央,中央大學宵夜街口,102
中央大學宵夜街口,京城韓式湯飯,122
京城韓式湯飯,中央大學宵夜街口,122
中央大學宵夜街口,雞師父醬汁照燒雞排,72
雞師父醬汁照燒雞排,中央大學宵夜街口,72
中央大學宵夜街口,燈丫腳湯包車,73
燈丫腳湯包車,中央大學宵夜街口,73
中央大學宵夜街口,Ticket Toast 提齊熱壓吐司,69
Ticket Toast 提齊熱壓吐司,中央大學宵夜街口,69
中央大學宵夜街口,Main蛋,13
Main蛋,中央大學宵夜街口,13
太極銅雕,國鼎圖書館,68
國鼎圖書館,太極銅雕,68
太極銅雕,文學二館,85
文學二館,太極銅雕,85
太極銅雕,文學一館,76
文學一館,太極銅雕,76
太極銅雕,綜教館(語言中心),111
綜教館(語言中心),太極銅雕,111
太極銅雕,第二行政中心,94
第二行政中心,太極銅雕,94
太極銅雕,總圖書館,110
總圖書館,太極銅雕,110
太極銅雕,志希館,85
志希館,太極銅雕,85
太極銅雕,小木屋鬆餅,64
小木屋鬆餅,太極銅雕,64
國鼎圖書館,文學二館,103
文學二館,國鼎圖書館,103
國鼎圖書館,文學一館,63
文學一館,國鼎圖書館,63
國鼎圖書館,管理學院二館,86
管理學院二館,國鼎圖書館,86
國鼎圖書館,綜教館(語言中心),109
綜教館(語言中心),國鼎圖書館,109
國鼎圖書館,志希館,48
志希館,國鼎圖書館,48
國鼎圖書館,人文社會科學大樓,105
人文社會科學大樓,國鼎圖書館,105
國鼎圖書館,中大會館,108
中大會館,國鼎圖書館,108
國鼎圖書館,曦望居,97
曦望居,國鼎圖書館,97
國鼎圖書館,小木屋鬆餅,59
小木屋鬆餅,國鼎圖書館,59
國鼎圖書館,香米便當,118
香米便當,國鼎圖書館,118
天文研究所,中大湖,98
中大湖,天文研究所,98
天文研究所,湖心亭,62
湖心亭,天文研究所,62
天文研究所,科學四館,10
科學四館,天文研究所,10
